Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/23/2017,"UCSD STUDENT HEALTH SVC LA JOLLA CA          06/22",-20.00,DEBIT_CARD,321.91,,
CREDIT,06/23/2017,"Online Transfer from CHK ...5521 transaction#: 6317577917",100.00,ACCT_XFER,341.91,,
CREDIT,06/23/2017,"Online Transfer from CHK ...5521 transaction#: 6317628236",200.00,ACCT_XFER,241.91,,
DEBIT,06/21/2017,"VONS     Store  2012 SAN DIEGO CA    076099  06/21",-13.45,DEBIT_CARD,41.91,,
DEBIT,06/21/2017,"IDESSERT SAN DIEGO CA                        06/21",-8.57,DEBIT_CARD,55.36,,
DEBIT,06/21/2017,"DAV ENOTECA LITTLE SAN DIEGO CA              06/20",-36.40,DEBIT_CARD,63.93,,
DEBIT,06/21/2017,"TEA CREATIONS INC SAN DIEGO CA               06/19",-6.74,DEBIT_CARD,100.33,,
DEBIT,06/20/2017,"ROBERT V BATTER LA JOLLA CA                  06/20",-33.26,DEBIT_CARD,107.07,,
DEBIT,06/20/2017,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         06/19",-5.94,DEBIT_CARD,140.33,,
DEBIT,06/20/2017,"PHO T CALI SAN DIEGO CA                      06/19",-20.21,DEBIT_CARD,146.27,,
DEBIT,06/19/2017,"VONS STORE        2012 SAN DIEGO CA  562053  06/19",-4.30,DEBIT_CARD,166.48,,
DEBIT,06/19/2017,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         06/17",-5.13,DEBIT_CARD,170.78,,
DEBIT,06/19/2017,"VALLARTA EXPRESS SAN DIEGO CA                06/16",-22.74,DEBIT_CARD,175.91,,
DEBIT,06/19/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/15",-7.25,DEBIT_CARD,198.65,,
DEBIT,06/16/2017,"85C BAKERY CAFE USA SAN DIEGO CA             06/15",-3.00,DEBIT_CARD,205.90,,
DEBIT,06/16/2017,"85C BAKERY CAFE USA SAN DIEGO CA             06/15",-10.04,DEBIT_CARD,208.90,,
DEBIT,06/16/2017,"85C BAKERY CAFE USA SAN DIEGO CA             06/15",-9.67,DEBIT_CARD,218.94,,
DEBIT,06/16/2017,"85C BAKERY CAFE USA SAN DIEGO CA             06/15",-3.00,DEBIT_CARD,228.61,,
DEBIT,06/15/2017,"Online Transfer to CHK ...5521 transaction#: 6298232320 06/15",-3300.00,ACCT_XFER,231.61,,
DEBIT,06/15/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           06/14",-8.61,DEBIT_CARD,3531.61,,
DEBIT,06/15/2017,"BURGER KING #16576 LA JOLLA CA               06/14",-5.39,DEBIT_CARD,3540.22,,
DEBIT,06/14/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/12",-4.00,DEBIT_CARD,3545.61,,
CREDIT,06/14/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",279.67,ACH_CREDIT,3549.61,,
DEBIT,06/13/2017,"RALPHS    8657 VIL LA LA JOLLA CA            06/13",-4.39,DEBIT_CARD,3269.94,,
DEBIT,06/13/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           06/12",-8.61,DEBIT_CARD,3274.33,,
DEBIT,06/13/2017,"UCSD PARKING 858-534-0901 CA                 06/13",-36.00,DEBIT_CARD,3282.94,,
DEBIT,06/13/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/11",-3.50,DEBIT_CARD,3318.94,,
DEBIT,06/13/2017,"LOLITA'S TACO SHOP SAN DIEGO CA              06/09",-2.53,DEBIT_CARD,3322.44,,
DEBIT,06/13/2017,"LOLITA'S TACO SHOP SAN DIEGO CA              06/09",-4.26,DEBIT_CARD,3324.97,,
DEBIT,06/12/2017,"TEA N MORE SAN DIEGO CA                      06/09",-9.70,DEBIT_CARD,3329.23,,
DEBIT,06/12/2017,"AJISEN RAMEN SAN DIEGO CA                    06/09",-10.72,DEBIT_CARD,3338.93,,
DEBIT,06/09/2017,"TRADER JOE'S # 020 LA JOLLA CA       715622  06/09",-5.48,DEBIT_CARD,3349.65,,
DEBIT,06/09/2017,"RALPHS    8657 VIL LA LA JOLLA CA            06/09",-26.91,DEBIT_CARD,3355.13,,
DEBIT,06/09/2017,"UCSD STUDENT HEALTH SVC LA JOLLA CA          06/08",-40.00,DEBIT_CARD,3382.04,,
DEBIT,06/09/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/07",-9.21,DEBIT_CARD,3422.04,,
DEBIT,06/09/2017,"BURGER KING #16576 LA JOLLA CA               06/08",-5.38,DEBIT_CARD,3431.25,,
DEBIT,06/08/2017,"UCSD BOOKSTORE LA JOLLA CA                   06/07",-1.07,DEBIT_CARD,3436.63,,
DEBIT,06/08/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/06",-9.93,DEBIT_CARD,3437.70,,
DEBIT,06/07/2017,"UCSD HDH OVT DINING LA JOLLA CA              06/07",-3.94,DEBIT_CARD,3447.63,,
DEBIT,06/07/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 06/05",-3.60,DEBIT_CARD,3451.57,,
DEBIT,06/06/2017,"La Jolla Village Smile 858-2722260 CA        06/05",-115.90,DEBIT_CARD,3455.17,,
DEBIT,06/06/2017,"La Scala         8888004797 N8257977        WEB ID: 1262437777",-600.00,ACH_DEBIT,3571.07,,
DEBIT,06/06/2017,"PANDA EXPRESS #786 LA JOLLA CA               06/05",-7.97,DEBIT_CARD,4171.07,,
DEBIT,06/06/2017,"UCSD BOOKSTORE LA JOLLA CA                   06/05",-1.07,DEBIT_CARD,4179.04,,
DEBIT,06/06/2017,"VENMO 855-812-4430 NY                        06/05",-22.92,DEBIT_CARD,4180.11,,
DEBIT,06/05/2017,"Chase QuickPay Electronic Transfer 6274389122 to phoung truong",-56.00,QUICKPAY_DEBIT,4203.03,,
DEBIT,06/05/2017,"MI TEA EXPRESS SAN DIEGO CA                  06/03",-4.82,DEBIT_CARD,4259.03,,
DEBIT,06/05/2017,"ROBERT V BATTERTON II LA JOLLA CA    084885  06/03",-30.48,DEBIT_CARD,4263.85,,
DEBIT,06/05/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           06/02",-3.76,DEBIT_CARD,4294.33,,
DEBIT,06/05/2017,"RAMEN RAKI RAKI SAN DIEGO CA                 06/02",-12.59,DEBIT_CARD,4298.09,,
DEBIT,06/02/2017,"GOOGLE *YouTube Red 855-492-5538 CA          06/02",-9.99,DEBIT_CARD,4310.68,,
DEBIT,06/02/2017,"TAPIOCA EXPRESS - SAN SAN DIEGO CA           06/02",-5.67,DEBIT_CARD,4320.67,,
DEBIT,06/02/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/31",-5.76,DEBIT_CARD,4326.34,,
DEBIT,06/02/2017,"VENMO 855-812-4430 NY                        06/01",-1.00,DEBIT_CARD,4332.10,,
DEBIT,06/02/2017,"VENMO 855-812-4430 NY                        06/01",-10.00,DEBIT_CARD,4333.10,,
DEBIT,06/01/2017,"BURGER KING #16576 LA JOLLA CA               05/31",-5.39,DEBIT_CARD,4343.10,,
CREDIT,05/31/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",590.47,ACH_CREDIT,4348.49,,
DEBIT,05/30/2017,"USA*SNACK SODA VENDING LA JOLLA CA           05/29",-1.70,DEBIT_CARD,3758.02,,
DEBIT,05/30/2017,"USA*SNACK SODA VENDING LA JOLLA CA           05/29",-1.70,DEBIT_CARD,3759.72,,
DEBIT,05/30/2017,"USA*SNACK SODA VENDING LA JOLLA CA           05/29",-1.70,DEBIT_CARD,3761.42,,
DEBIT,05/30/2017,"VENMO 855-812-4430 NY                        05/28",-5.12,DEBIT_CARD,3763.12,,
DEBIT,05/30/2017,"VENMO 855-812-4430 NY                        05/28",-11.00,DEBIT_CARD,3768.24,,
DEBIT,05/30/2017,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         05/27",-5.13,DEBIT_CARD,3779.24,,
DEBIT,05/30/2017,"KATSU CAFE SAN DIEGO CA                      05/27",-9.43,DEBIT_CARD,3784.37,,
DEBIT,05/30/2017,"99 RANCH #1016 SAN DIEGO CA                  05/27",-12.46,DEBIT_CARD,3793.80,,
DEBIT,05/30/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/27",-5.92,DEBIT_CARD,3806.26,,
DEBIT,05/30/2017,"99 RANCH #1016 SAN DIEGO CA                  05/26",-3.58,DEBIT_CARD,3812.18,,
DEBIT,05/30/2017,"VENMO 855-812-4430 NY                        05/27",-5.00,DEBIT_CARD,3815.76,,
DEBIT,05/30/2017,"BURGER KING #16576 LA JOLLA CA               05/26",-5.39,DEBIT_CARD,3820.76,,
DEBIT,05/30/2017,"BURGER KING #16576 LA JOLLA CA               05/26",-5.39,DEBIT_CARD,3826.15,,
DEBIT,05/30/2017,"AMAZON PICKUP POINTS 877-345-0975 WA         05/27",-2.10,DEBIT_CARD,3831.54,,
DEBIT,05/26/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/26",-11.46,DEBIT_CARD,3833.64,,
DEBIT,05/26/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/24",-4.50,DEBIT_CARD,3845.10,,
DEBIT,05/26/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/26",-21.49,DEBIT_CARD,3849.60,,
DEBIT,05/25/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/24",-1.07,DEBIT_CARD,3871.09,,
DEBIT,05/24/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/24",-20.50,DEBIT_CARD,3872.16,,
DEBIT,05/23/2017,"POKE UTC SAN DIEGO CA                        05/23",-10.72,DEBIT_CARD,3892.66,,
DEBIT,05/23/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/23",-11.43,DEBIT_CARD,3903.38,,
DEBIT,05/22/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/22",-6.49,DEBIT_CARD,3914.81,,
DEBIT,05/22/2017,"JAMBA JUICE #371 LA JOLLA CA                 05/21",-6.50,DEBIT_CARD,3921.30,,
DEBIT,05/22/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/22",-10.95,DEBIT_CARD,3927.80,,
DEBIT,05/22/2017,"VENMO 855-812-4430 NY                        05/21",-12.00,DEBIT_CARD,3938.75,,
DEBIT,05/22/2017,"LAZ PARKING 140564 SAN DIEGO CA              05/20",-5.00,DEBIT_CARD,3950.75,,
DEBIT,05/22/2017,"ROBERT V BATTERTON II LA JOLLA CA    086624  05/20",-28.82,DEBIT_CARD,3955.75,,
DEBIT,05/22/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/19",-10.96,DEBIT_CARD,3984.57,,
DEBIT,05/22/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/19",-1.04,DEBIT_CARD,3995.53,,
DEBIT,05/19/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/18",-3.07,DEBIT_CARD,3996.57,,
DEBIT,05/19/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           05/18",-8.39,DEBIT_CARD,3999.64,,
DEBIT,05/19/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/17",-3.83,DEBIT_CARD,4008.03,,
DEBIT,05/18/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/17",-1.07,DEBIT_CARD,4011.86,,
DEBIT,05/15/2017,"ZION MARKET - SD SAN DIEGO CA                05/14",-12.25,DEBIT_CARD,4012.93,,
DEBIT,05/15/2017,"99 RANCH #1016 SAN DIEGO CA                  05/14",-14.25,DEBIT_CARD,4025.18,,
DEBIT,05/15/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/13",-22.66,DEBIT_CARD,4039.43,,
DEBIT,05/15/2017,"COCA COLA SAN DIEGO CA SAN DIEGO CA          05/12",-1.75,DEBIT_CARD,4062.09,,
DEBIT,05/12/2017,"SHARETEA SAN DIEGO CA                        05/12",-5.12,DEBIT_CARD,4063.84,,
DEBIT,05/12/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/11",-1.07,DEBIT_CARD,4068.96,,
DEBIT,05/12/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           05/11",-8.61,DEBIT_CARD,4070.03,,
DEBIT,05/12/2017,"BURGER KING #16576 LA JOLLA CA               05/11",-2.90,DEBIT_CARD,4078.64,,
DEBIT,05/12/2017,"MCDONALD'S F11181 SAN DIEGO CA               05/10",-3.86,DEBIT_CARD,4081.54,,
DEBIT,05/11/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/10",-1.07,DEBIT_CARD,4085.40,,
DEBIT,05/09/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/08",-34.09,DEBIT_CARD,4086.47,,
DEBIT,05/09/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/08",-1.07,DEBIT_CARD,4120.56,,
DEBIT,05/09/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/08",-1.07,DEBIT_CARD,4121.63,,
DEBIT,05/09/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/08",-9.05,DEBIT_CARD,4122.70,,
DEBIT,05/09/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/08",-1.79,DEBIT_CARD,4131.75,,
DEBIT,05/08/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/07",-1.07,DEBIT_CARD,4133.54,,
DEBIT,05/08/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/07",-3.58,DEBIT_CARD,4134.61,,
DEBIT,05/08/2017,"USA*SNACK SODA VENDING VISTA CA              05/07",-1.70,DEBIT_CARD,4138.19,,
DEBIT,05/08/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/06",-4.75,DEBIT_CARD,4139.89,,
DEBIT,05/08/2017,"ROBERT V BATTER LA JOLLA CA                  05/06",-22.79,DEBIT_CARD,4144.64,,
DEBIT,05/08/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 05/05",-10.96,DEBIT_CARD,4167.43,,
DEBIT,05/05/2017,"La Scala         8888004797 N8090549        WEB ID: 1262437777",-600.00,ACH_DEBIT,4178.39,,
CREDIT,05/05/2017,"VENMO            CASHOUT                    PPD ID: 5264681992",1215.46,ACH_CREDIT,4778.39,,
DEBIT,05/04/2017,"UCSD BOOKSTORE LA JOLLA CA                   05/03",-1.07,DEBIT_CARD,3562.93,,
CREDIT,05/03/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",538.96,ACH_CREDIT,3564.00,,
DEBIT,05/02/2017,"GOOGLE *YouTube Red 855-492-5538 CA          05/02",-9.99,DEBIT_CARD,3025.04,,
DEBIT,05/02/2017,"La Jolla Village Smiles LA JOLLA CA          05/01",-750.00,DEBIT_CARD,3035.03,,
DEBIT,05/01/2017,"RALPHS    8657 VIL LA LA JOLLA CA            05/01",-3.38,DEBIT_CARD,3785.03,,
DEBIT,05/01/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/30",-12.41,DEBIT_CARD,3788.41,,
DEBIT,05/01/2017,"SQ *GUILTEA CRAVINGS San Diego CA            04/29",-5.33,DEBIT_CARD,3800.82,,
DEBIT,05/01/2017,"LITTLE SHEEP MONGOLIAN SAN DIEGO CA          04/29",-21.00,DEBIT_CARD,3806.15,,
DEBIT,05/01/2017,"SQ *IT'S BOBA TIME SD San Diego CA           04/29",-4.35,DEBIT_CARD,3827.15,,
DEBIT,05/01/2017,"KATSU CAFE SAN DIEGO CA                      04/29",-10.24,DEBIT_CARD,3831.50,,
DEBIT,05/01/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/28",-5.25,DEBIT_CARD,3841.74,,
DEBIT,05/01/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/28",-1.79,DEBIT_CARD,3846.99,,
DEBIT,05/01/2017,"BURGER KING #16576 LA JOLLA CA               04/29",-2.47,DEBIT_CARD,3848.78,,
DEBIT,05/01/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/27",-8.89,DEBIT_CARD,3851.25,,
DEBIT,04/27/2017,"SAKURA SAN DIEGO CA                          04/27",-13.04,DEBIT_CARD,3860.14,,
DEBIT,04/27/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/26",-1.79,DEBIT_CARD,3873.18,,
DEBIT,04/26/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/25",-8.99,DEBIT_CARD,3874.97,,
DEBIT,04/26/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/24",-5.25,DEBIT_CARD,3883.96,,
DEBIT,04/25/2017,"SHARETEA SAN DIEGO CA                        04/22",-5.12,DEBIT_CARD,3889.21,,
DEBIT,04/25/2017,"BOMBAY COAST LA JOLLA CA                     04/22",-10.72,DEBIT_CARD,3894.33,,
DEBIT,04/24/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/23",-1.07,DEBIT_CARD,3905.05,,
DEBIT,04/24/2017,"ROBERT V BATTER LA JOLLA CA                  04/23",-31.69,DEBIT_CARD,3906.12,,
DEBIT,04/24/2017,"AMAZON PICKUP POINTS 877-345-0975 WA         04/23",-59.25,DEBIT_CARD,3937.81,,
DEBIT,04/24/2017,"IN N OUT BURGER 068 SAN DIEGO CA             04/22",-7.65,DEBIT_CARD,3997.06,,
DEBIT,04/24/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/21",-1.79,DEBIT_CARD,4004.71,,
DEBIT,04/24/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/21",-1.79,DEBIT_CARD,4006.50,,
DEBIT,04/21/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/20",-1.07,DEBIT_CARD,4008.29,,
DEBIT,04/20/2017,"BURGER KING #16576 LA JOLLA CA               04/19",-2.47,DEBIT_CARD,4009.36,,
CREDIT,04/20/2017,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",75.00,ACH_CREDIT,4011.83,,
DEBIT,04/19/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/18",-20.72,DEBIT_CARD,3936.83,,
DEBIT,04/19/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/17",-5.25,DEBIT_CARD,3957.55,,
DEBIT,04/19/2017,"AMAZON PICKUP POINTS 877-345-0975 WA         04/18",-34.88,DEBIT_CARD,3962.80,,
DEBIT,04/18/2017,"SAN DIEGO ICE ARENA 858-530-1825 CA          04/17",-24.00,DEBIT_CARD,3997.68,,
DEBIT,04/18/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        04/17",-7.01,DEBIT_CARD,4021.68,,
DEBIT,04/17/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        04/17",-73.43,DEBIT_CARD,4028.69,,
DEBIT,04/17/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/16",-5.49,DEBIT_CARD,4102.12,,
DEBIT,04/17/2017,"SQ *THE BAKED BEAR OF C San Diego CA         04/15",-1.00,DEBIT_CARD,4107.61,,
DEBIT,04/17/2017,"STARBUCKS STORE 00530 SAN DIEGO CA           04/15",-12.65,DEBIT_CARD,4108.61,,
DEBIT,04/17/2017,"BURGER KING #16576 LA JOLLA CA               04/14",-3.00,DEBIT_CARD,4121.26,,
DEBIT,04/14/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/14",-9.30,DEBIT_CARD,4124.26,,
DEBIT,04/13/2017,"FAIRBANKS COFFEE LA JOLLA CA                 04/12",-4.35,DEBIT_CARD,4133.56,,
DEBIT,04/13/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/11",-9.76,DEBIT_CARD,4137.91,,
DEBIT,04/12/2017,"BOMBAY COAST LA JOLLA CA                     04/10",-8.57,DEBIT_CARD,4147.67,,
DEBIT,04/11/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/10",-1.07,DEBIT_CARD,4156.24,,
DEBIT,04/11/2017,"VALLARTA EXPRESS SAN DIEGO CA                04/10",-26.51,DEBIT_CARD,4157.31,,
DEBIT,04/11/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 04/09",-5.25,DEBIT_CARD,4183.82,,
DEBIT,04/10/2017,"RUBIO'S #165 LA JOLLA CA                     04/09",-6.23,DEBIT_CARD,4189.07,,
DEBIT,04/10/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/08",-7.79,DEBIT_CARD,4195.30,,
DEBIT,04/10/2017,"PHO UTC & GRILL SAN DIEGO CA                 04/08",-11.24,DEBIT_CARD,4203.09,,
DEBIT,04/10/2017,"PHO UTC & GRILL SAN DIEGO CA                 04/08",-10.69,DEBIT_CARD,4214.33,,
DEBIT,04/10/2017,"ROBERT V BATTERTON II LA JOLLA CA    002098  04/08",-32.97,DEBIT_CARD,4225.02,,
DEBIT,04/10/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/08",-8.61,DEBIT_CARD,4257.99,,
DEBIT,04/10/2017,"BURGER KING #16576 LA JOLLA CA               04/08",-5.38,DEBIT_CARD,4266.60,,
DEBIT,04/07/2017,"UCSD TS CAMPUS&THORNTO LA JOLLA CA   075147  04/07",-43.00,DEBIT_CARD,4271.98,,
DEBIT,04/06/2017,"AMAZON PICKUP POINTS 877-345-0975 WA         04/06",-10.76,DEBIT_CARD,4314.98,,
DEBIT,04/05/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/04",-1.07,DEBIT_CARD,4325.74,,
DEBIT,04/05/2017,"BURGER KING #16576 LA JOLLA CA               04/04",-3.00,DEBIT_CARD,4326.81,,
CREDIT,04/05/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",319.67,ACH_CREDIT,4329.81,,
DEBIT,04/04/2017,"La Scala         8888004797 N7894232        WEB ID: 1262437777",-600.00,ACH_DEBIT,4010.14,,
DEBIT,04/04/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/03",-1.79,DEBIT_CARD,4610.14,,
DEBIT,04/04/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/03",-0.30,DEBIT_CARD,4611.93,,
DEBIT,04/04/2017,"UCSD BOOKSTORE LA JOLLA CA                   04/03",-4.82,DEBIT_CARD,4612.23,,
DEBIT,04/03/2017,"GOOGLE *YouTube Red 855-492-5538 CA          04/02",-9.99,DEBIT_CARD,4617.05,,
DEBIT,04/03/2017,"99 RANCH #1016 7330 CL SAN DIEGO CA  314050  04/02",-33.85,DEBIT_CARD,4627.04,,
DEBIT,04/03/2017,"SQ *BB2 San Diego CA                         04/02",-5.12,DEBIT_CARD,4660.89,,
DEBIT,04/03/2017,"RALPHS 8657 VIL LA JOL LA JOLLA CA   709484  04/02",-2.16,DEBIT_CARD,4666.01,,
DEBIT,04/03/2017,"THE HOME DEPOT #0680 SAN DIEGO CA    752103  04/02",-47.82,DEBIT_CARD,4668.17,,
DEBIT,04/03/2017,"RALPHS    8657 VIL LA LA JOLLA CA            04/02",-4.99,DEBIT_CARD,4715.99,,
DEBIT,04/03/2017,"PETRO WHEELER RIDGE #3 LEBEC CA      019812  04/01",-7.00,DEBIT_CARD,4720.98,,
DEBIT,04/03/2017,"EXXONMOBIL    97260350 LEBEC CA              04/01",-28.88,DEBIT_CARD,4727.98,,
DEBIT,04/03/2017,"MCDONALD'S F6853 SANTA NELLA CA              04/01",-2.99,DEBIT_CARD,4756.86,,
DEBIT,04/03/2017,"MCDONALD'S F6853 SANTA NELLA CA              04/01",-7.04,DEBIT_CARD,4759.85,,
DEBIT,04/03/2017,"RALEY'S #343 BENICIA CA              739596  03/31",-14.39,DEBIT_CARD,4766.89,,
DEBIT,04/03/2017,"CHEVRON 0090319 VALLEJO CA                   04/01",-28.30,DEBIT_CARD,4781.28,,
DEBIT,04/03/2017,"KRISPY KREME #1021 DALY CITY CA              03/30",-1.39,DEBIT_CARD,4809.58,,
DEBIT,04/03/2017,"KRISPY KREME #1021 DALY CITY CA              03/30",-4.17,DEBIT_CARD,4810.97,,
DEBIT,03/31/2017,"PERILLA SAN FRANCISCO CA                     03/30",-52.41,DEBIT_CARD,4815.14,,
